"Simbolo","Che","Anno","Esito","Byte","Url","Fase"
"EURUSD","<<< CONTROLLO POSITIVO >>>","2025","OK","24043","https://datafeed.dukascopy.com/datafeed/EURUSD/2025/05/16/15h_ticks.bi5","0-controllo"
"USA30IDXUSD","Dow Jones 30","2025","OK","49445","https://datafeed.dukascopy.com/datafeed/USA30IDXUSD/2025/05/16/15h_ticks.bi5","1-esiste?"
"US30IDXUSD","Dow (grafia alt. 1)","2025","ASSENTE","0","","1-esiste?"
"USA30USD","Dow (grafia alt. 2)","2025","ASSENTE","0","","1-esiste?"
"DJIIDXUSD","Dow (grafia alt. 3)","2025","ERRORE 0 Impossibile effettuare la connessione al server remoto.","0","https://datafeed.dukascopy.com/datafeed/DJIIDXUSD/2025/05/16/15h_ticks.bi5","1-esiste?"
"WS30IDXUSD","Dow (grafia alt. 4)","2025","ASSENTE","0","","1-esiste?"
"USA2000IDXUSD","Russell 2000 (controllo di schema)","2025","ERRORE 503 Errore del server remoto: (503) Server non disponibile.","0","https://datafeed.dukascopy.com/datafeed/USA2000IDXUSD/2025/05/16/15h_ticks.bi5","1-esiste?"
"USATECHIDXUSD","Nasdaq 100","2025","OK","95995","https://datafeed.dukascopy.com/datafeed/USATECHIDXUSD/2025/05/16/15h_ticks.bi5","1-esiste?"
"USA500IDXUSD","S&P 500","2025","OK","29018","https://datafeed.dukascopy.com/datafeed/USA500IDXUSD/2025/05/16/15h_ticks.bi5","1-esiste?"
"DEUIDXEUR","DAX 40","2025","OK","17875","https://datafeed.dukascopy.com/datafeed/DEUIDXEUR/2025/05/16/15h_ticks.bi5","1-esiste?"
"GERIDXEUR","DAX (nome alternativo)","2025","ASSENTE","0","","1-esiste?"
"JPNIDXJPY","Nikkei 225","2025","OK","8722","https://datafeed.dukascopy.com/datafeed/JPNIDXJPY/2025/05/16/15h_ticks.bi5","1-esiste?"
"EUSIDXEUR","Euro Stoxx 50","2025","OK","1814","https://datafeed.dukascopy.com/datafeed/EUSIDXEUR/2025/05/16/15h_ticks.bi5","1-esiste?"
"GBRIDXGBP","FTSE 100","2025","OK","17583","https://datafeed.dukascopy.com/datafeed/GBRIDXGBP/2025/05/16/15h_ticks.bi5","1-esiste?"
