=== SONDA DUKASCOPY ===
macchina : DESKTOP-H4D7CAJ
letto il : 2026-08-15 16:45:58
ora UTC sondata: 15
controllo positivo EURUSD: OK

DEUIDXEUR        2018  OK         33891     byte  2-scala
DEUIDXEUR        2020  OK         87734     byte  2-scala
DEUIDXEUR        2022  OK         43281     byte  2-scala
DEUIDXEUR        2024  OK         7812      byte  2-scala
DEUIDXEUR        2025  OK         17875     byte  2-scala
DEUIDXEUR        2011  ASSENTE    0         byte  3-stringo
JPNIDXJPY        2008  ASSENTE    0         byte  2-scala
JPNIDXJPY        2010  ASSENTE    0         byte  2-scala
JPNIDXJPY        2012  VUOTO      0         byte  2-scala
JPNIDXJPY        2015  OK         2285      byte  2-scala
JPNIDXJPY        2018  OK         4000      byte  2-scala
JPNIDXJPY        2020  OK         16904     byte  2-scala
JPNIDXJPY        2022  OK         9006      byte  2-scala
JPNIDXJPY        2024  OK         4717      byte  2-scala
JPNIDXJPY        2025  OK         8722      byte  2-scala
JPNIDXJPY        2013  OK         1736      byte  3-stringo
EUSIDXEUR        2008  ASSENTE    0         byte  2-scala
EUSIDXEUR        2010  ASSENTE    0         byte  2-scala
EUSIDXEUR        2012  OK         694       byte  2-scala
EUSIDXEUR        2015  OK         6024      byte  2-scala
EUSIDXEUR        2018  OK         2074      byte  2-scala
EUSIDXEUR        2020  OK         22227     byte  2-scala
EUSIDXEUR        2022  OK         6996      byte  2-scala
EUSIDXEUR        2024  OK         1401      byte  2-scala
EUSIDXEUR        2025  OK         1814      byte  2-scala
EUSIDXEUR        2011  ASSENTE    0         byte  3-stringo
GBRIDXGBP        2008  ASSENTE    0         byte  2-scala
GBRIDXGBP        2010  ASSENTE    0         byte  2-scala
GBRIDXGBP        2012  OK         15881     byte  2-scala
GBRIDXGBP        2015  OK         10453     byte  2-scala
GBRIDXGBP        2018  OK         18688     byte  2-scala
GBRIDXGBP        2020  OK         43463     byte  2-scala
GBRIDXGBP        2022  OK         37719     byte  2-scala
GBRIDXGBP        2024  OK         8427      byte  2-scala
GBRIDXGBP        2025  OK         17583     byte  2-scala
GBRIDXGBP        2011  ASSENTE    0         byte  3-stringo
FRAIDXEUR        2008  ASSENTE    0         byte  2-scala
FRAIDXEUR        2010  ASSENTE    0         byte  2-scala
FRAIDXEUR        2012  OK         666       byte  2-scala
FRAIDXEUR        2015  OK         17963     byte  2-scala
FRAIDXEUR        2018  OK         14858     byte  2-scala
FRAIDXEUR        2020  OK         38145     byte  2-scala
FRAIDXEUR        2022  OK         14320     byte  2-scala
FRAIDXEUR        2024  OK         8104      byte  2-scala
FRAIDXEUR        2025  OK         10011     byte  2-scala
FRAIDXEUR        2011  ASSENTE    0         byte  3-stringo
