Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,Barre Valutate,Sedute con IB,Rottura Long,Rottura Short,Ritorno Long,Ritorno Short,Segnale Long,Segnale Short,Long,Short,Stop Mediano Punti,Stop Da Pivot,Lotto Al Minimo,Reject,Flat Chiusure,InpMagic,InpUsaGuardian,InpIbInizioOra,InpIbInizioMin,InpIbFineOra,InpIbFineMin,InpSmaLen,InpPivot,InpStopBufferPunti,InpInvalidaSuIbOpposto,InpMaxIbPunti,InpUsaFiltroHTF,InpHtfMinuti,InpHtfMaLen,InpAllowLong,InpAllowShort,InpCutoffOra,InpCutoffMin,InpUsaFlatSeduta,InpGoFlatOra,InpGoFlatMin,InpMinStopPts,InpMT5PerPuntoIndice,InpRR,InpBEatR,InpRiskPercent,InpMaxSpreadPctOfStop,InpMaxTradesPerDay,InpComment,InpVerbose
1,260.68,4.49448,1.21062,0.89317,2.51217,2.7988,58,-0.6474,-249,-248.58,4070,170,138,123,108,98,57,53,29,29,113.35,62,1,45,35,772950,1,8,0,9,0,9,2,2,0,0,0,240,9,1,1,20,0,1,21,0,25,100,2,0,0.65,2.5,1,IBRT,1
0,260.68,4.49448,1.21062,0.89317,2.51217,2.7988,58,-0.6474,-249,-248.58,4070,170,138,123,108,98,57,53,29,29,113.35,62,1,45,35,772900,1,8,0,9,0,9,2,2,0,0,0,240,9,1,1,20,0,1,21,0,25,100,2,0,0.65,2.5,1,IBRT,1
