Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,Barre Valutate,Sedute con IB,Rottura Long,Rottura Short,Ritorno Long,Ritorno Short,Segnale Long,Segnale Short,Long,Short,Stop Mediano Punti,Stop Da Pivot,Lotto Al Minimo,Reject,Flat Chiusure,InpMagic,InpUsaGuardian,InpIbInizioOra,InpIbInizioMin,InpIbFineOra,InpIbFineMin,InpSmaLen,InpPivot,InpStopBufferPunti,InpInvalidaSuIbOpposto,InpMaxIbPunti,InpUsaFiltroHTF,InpHtfMinuti,InpHtfMaLen,InpAllowLong,InpAllowShort,InpCutoffOra,InpCutoffMin,InpUsaFlatSeduta,InpGoFlatOra,InpGoFlatMin,InpMinStopPts,InpMT5PerPuntoIndice,InpRR,InpBEatR,InpRiskPercent,InpMaxSpreadPctOfStop,InpMaxTradesPerDay,InpComment,InpVerbose
1,-441.72,-12.62057,0.56297,-0.75041,-5.00000,5.8012,35,-1.0783,-212,-211.60,1854,172,126,110,79,67,42,21,21,14,128.10,18,0,7,17,772950,1,14,30,15,30,9,2,2,0,0,0,240,9,1,1,20,0,1,21,0,25,100,2,0,0.65,2.5,1,IBRT,1
0,-441.72,-12.62057,0.56297,-0.75041,-5.00000,5.8012,35,-1.0783,-212,-211.60,1854,172,126,110,79,67,42,21,21,14,128.10,18,0,7,17,772900,1,14,30,15,30,9,2,2,0,0,0,240,9,1,1,20,0,1,21,0,25,100,2,0,0.65,2.5,1,IBRT,1
