Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,Barre Valutate,Sedute con IB,Rottura Long,Rottura Short,Ritorno Long,Ritorno Short,Segnale Long,Segnale Short,Long,Short,Stop Mediano Punti,Stop Da Pivot,Lotto Al Minimo,Reject,Flat Chiusure,InpMagic,InpUsaGuardian,InpIbInizioOra,InpIbInizioMin,InpIbFineOra,InpIbFineMin,InpSmaLen,InpPivot,InpStopBufferPunti,InpInvalidaSuIbOpposto,InpMaxIbPunti,InpUsaFiltroHTF,InpHtfMinuti,InpHtfMaLen,InpAllowLong,InpAllowShort,InpCutoffOra,InpCutoffMin,InpUsaFlatSeduta,InpGoFlatOra,InpGoFlatMin,InpMinStopPts,InpMT5PerPuntoIndice,InpRR,InpBEatR,InpRiskPercent,InpMaxSpreadPctOfStop,InpMaxTradesPerDay,InpComment,InpVerbose
1,-419.15,-8.55408,0.59292,-0.78363,-5.00000,5.3076,49,-0.7741,-333,-332.59,2903,272,190,169,104,110,48,37,29,20,167.20,27,1,9,35,772950,1,14,30,15,30,9,2,2,0,0,0,240,9,1,1,20,0,1,21,0,25,100,2,0,0.65,2.5,1,IBRT,1
0,-419.15,-8.55408,0.59292,-0.78363,-5.00000,5.3076,49,-0.7741,-333,-332.59,2903,272,190,169,104,110,48,37,29,20,167.20,27,1,9,35,772900,1,14,30,15,30,9,2,2,0,0,0,240,9,1,1,20,0,1,21,0,25,100,2,0,0.65,2.5,1,IBRT,1
