Pass,Simbolo,Periodo,Giornate Con Tick,Giornate Valide,Giornate Scartate Igiene,Giornate Scartate Dati,P01 Eventi Long,P01 Esito,P02 Media Evento Pct,P02 Media Tutti Pct,P02 Media Non Evento Pct,P02 Separazione X,P02 Esito,P02 Controllo Degenere,Mediana Evento Pct,Win Evento Pct,Win Tutti Pct,P03 Take Mediano Unita,P03 Spread Campana Mediano Unita,P03 Spread Campana P95 Unita,P03 Spread Tutti Mediano Unita,P03 Spread Tutti P95 Unita,P03 Rapporto Take Su Spread,P03 Esito,P03 Tick Campana Eventi,P03 Tick Campana Tutti,P03 Spread Oltre Tetto,P04 MAE p50 Pct,P04 MAE p75 Pct,P04 MAE p90 Pct,P04 MFE p50 Pct,P04 MFE p75 Pct,P04 MFE p90 Pct,P04 MAE p75 Unita,P04 MFE p50 Unita,P05 Eventi Short,P05 Media Short Pct,P05 Mediana Short Pct,P05 Win Short Pct,P05 Separazione Short X,P05 Esito Frequenza,P05 Esito Separazione,P05 MAE Short p75 Pct,P05 MFE Short p50 Pct,P06 Eventi Lunedi,P06 Quota Lunedi Pct,P06 Esito,P06 Barre Prima Ora Mediana,P06 Aperture Non Esatte,Verdetto Complessivo,Eco Soglia Gap Long,Eco Soglia Gap Short,Eco Minuti Uscita,Eco Minuto Campana Server,Eco Minuto Chiusura Cash Server,Eco Gate Spento,Eco Lato,Eco Spread Campana Misurato,Eco Punti Per Unita,Eco Decimali Simbolo,Letture M1 Fallite,Giornate Troncate,Autotest Falliti,Autotest Blocchi,P03 Tick Campana Scartati,InpSogliaGapPct,InpOraAperturaServer,InpMinAperturaServer,InpMinutiUscita,InpLato,InpGateSpento,InpMisuraSpreadCampana,InpVerbose,InpAutoTest,InpSogliaGapShortPct,InpMinBarreM1PrimaOra,InpScriviCsv,InpTagCorsa
0,NASUSD,M5,499,446,53,0,40,2,-0.057133,-0.013390,-0.009080,4.267,0,1,-0.037879,45.00,49.78,-10.9000,1.7000,2.7000,1.8000,2.7000,-6.412,0,28436,270168,0,0.1959,0.3934,0.7914,0.2395,0.4004,0.5466,99.600,56.500,98,0.039808,0.000584,50.00,2.973,2,0,0.2540,0.1667,11,27.50,2,60.0,0,0,-1.000,0.500,15,870,1260,0,0,1,100,2,98,0,0,8,0,-1.0,14,30,15,0,0,1,1,1,0.5,55,1,
1,NASUSD,M5,499,446,53,0,47,2,-0.043659,-0.013390,-0.009824,3.261,0,1,-0.000401,48.94,49.78,-0.1000,1.8000,2.7000,1.8000,2.7000,-0.056,0,33184,270168,0,0.1959,0.3934,0.7914,0.2154,0.3777,0.5466,99.600,42.900,98,0.039808,0.000584,50.00,2.973,2,0,0.2540,0.1667,13,27.66,2,60.0,0,0,-0.900,0.500,15,870,1260,0,0,1,100,2,98,0,0,8,0,-0.9,14,30,15,0,0,1,1,1,0.5,55,1,
2,NASUSD,M5,499,446,53,0,52,2,-0.019727,-0.013390,-0.012553,1.473,0,1,0.000009,50.00,49.78,0.0000,1.8000,2.7000,1.8000,2.7000,0.000,0,35874,270168,0,0.1878,0.3519,0.7171,0.2154,0.4004,0.6121,90.300,42.900,98,0.039808,0.000584,50.00,2.973,2,0,0.2540,0.1667,14,26.92,2,60.0,0,0,-0.800,0.500,15,870,1260,0,0,1,100,2,98,0,0,8,0,-0.8,14,30,15,0,0,1,1,1,0.5,55,1,
3,NASUSD,M5,499,446,53,0,60,2,-0.027871,-0.013390,-0.011139,2.082,0,1,0.000009,50.00,49.78,0.0000,1.8000,2.7000,1.8000,2.7000,0.000,0,41756,270168,0,0.1841,0.3519,0.7171,0.2154,0.4004,0.5500,90.300,42.900,98,0.039808,0.000584,50.00,2.973,2,0,0.2540,0.1667,16,26.67,2,60.0,0,0,-0.700,0.500,15,870,1260,0,0,1,100,2,98,0,0,8,0,-0.7,14,30,15,0,0,1,1,1,0.5,55,1,
4,NASUSD,M5,499,446,53,0,66,2,-0.041434,-0.013390,-0.008519,3.094,0,1,-0.003327,48.48,49.78,-0.8500,1.8000,2.7000,1.8000,2.7000,-0.472,0,45197,270168,0,0.1841,0.3771,0.7171,0.1792,0.3777,0.5500,91.300,32.300,98,0.039808,0.000584,50.00,2.973,2,0,0.2540,0.1667,16,24.24,2,60.0,0,0,-0.600,0.500,15,870,1260,0,0,1,100,2,98,0,0,8,0,-0.6,14,30,15,0,0,1,1,1,0.5,55,1,
5,NASUSD,M5,499,446,53,0,77,2,-0.048722,-0.013390,-0.006017,3.639,0,1,-0.032602,44.16,49.78,-8.0000,1.8000,2.7000,1.8000,2.7000,-4.444,0,49630,270168,0,0.1841,0.3635,0.6992,0.1269,0.3349,0.5466,90.300,30.200,98,0.039808,0.000584,50.00,2.973,2,0,0.2540,0.1667,18,23.38,2,60.0,0,0,-0.500,0.500,15,870,1260,0,0,1,100,2,98,0,0,8,0,-0.5,14,30,15,0,0,1,1,1,0.5,55,1,
6,NASUSD,M5,499,446,53,0,98,2,-0.042120,-0.013390,-0.005299,3.146,0,1,-0.033534,42.86,49.78,-8.4000,1.8000,2.7000,1.8000,2.7000,-4.667,0,63183,270168,0,0.1577,0.3506,0.6094,0.1289,0.3119,0.4983,83.000,27.200,98,0.039808,0.000584,50.00,2.973,2,0,0.2540,0.1667,19,19.39,2,60.0,0,0,-0.400,0.500,15,870,1260,0,0,1,100,2,98,0,0,8,0,-0.4,14,30,15,0,0,1,1,1,0.5,55,1,
7,NASUSD,M5,499,446,53,0,114,2,-0.037175,-0.013390,-0.005222,2.776,0,1,-0.032876,42.11,49.78,-7.6500,1.8000,2.7000,1.8000,2.7000,-4.250,0,74516,270168,0,0.1489,0.3330,0.5453,0.1275,0.3108,0.4983,74.400,27.000,98,0.039808,0.000584,50.00,2.973,2,0,0.2540,0.1667,21,18.42,2,60.0,0,0,-0.300,0.500,15,870,1260,0,0,1,100,2,98,0,0,8,0,-0.3,14,30,15,0,0,1,1,1,0.5,55,1,
