Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpMagic,InpActionHour,InpActionMin,InpExpiryHour,InpExpiryMin,InpRestrictToNews,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsCurrencies,InpNewsTitleMatch,InpNewsShiftMinutes,InpBuyOffsetPips,InpSellOffsetPips,InpTPpips,InpSLpips,InpUseOCO,InpCloseAtExpiry,InpUseTrail25,InpTrailTriggerPips,InpTrailNewSLpips,InpFridayClose,InpFridayCloseHour,InpFridayCloseMin,InpRiskPercent,InpRiskRefSLpips,InpComment,InpMaxSpread,InpVerbose
0,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,771201,14,0,17,15,1,1,abtg_news.csv,3,EUR,ECB,0,3,3,50,25,1,1,1,25,15,1,21,50,3,50,ECB PostNews,0,1
1,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,771202,14,0,17,15,1,1,abtg_news.csv,3,EUR,ECB,0,3,3,50,25,1,1,1,25,15,1,21,50,3,50,ECB PostNews,0,1
