Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpEntryPoints,InpAllowShort,InpRangeStartHour,InpRangeStartMin,InpRangeEndHour,InpRangeEndMin,InpEndHour,InpEndMin,InpCloseAtEnd,InpOneTradePerDay,InpPendingExpiryMin,InpK,InpAllowLong,InpSLMode,InpExecTF,InpAtrPeriod,InpAtrSLmult,InpSLFixedPts,InpTP_R,InpTP1Pct,InpBreakeven,InpUseTrailEMA,InpEmaFast,InpEmaSlow,InpExitOnEmaClose,InpUseCloseConfirm,InpMinBodyPct,InpUseEmaFilter,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpComment,InpMagic,InpMaxSpread,InpVerbose
2,-1477.26,-6.65432,0.82392,-0.55691,-5.00000,24.8368,222,10,1,14,25,14,30,22,59,1,1,600,1,1,0,5,14,1.5,1000,2,50,1,1,9,21,1,0,50,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
0,-1596.56,-8.22969,0.78157,-0.76350,-5.00000,20.5797,194,10,0,14,25,14,30,22,59,1,1,600,1,1,0,5,14,1.5,1000,2,50,1,1,9,21,1,0,50,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
3,-382.38,-1.97103,0.80567,-0.69747,-5.00000,5.4019,194,150,1,14,25,14,30,22,59,1,1,600,1,1,0,5,14,1.5,1000,2,50,1,1,9,21,1,0,50,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
1,-151.46,-1.41551,0.82270,-0.49587,-5.00000,3.0136,107,150,0,14,25,14,30,22,59,1,1,600,1,1,0,5,14,1.5,1000,2,50,1,1,9,21,1,0,50,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
