Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpMagic,InpRangeStartHour,InpRangeStartMin,InpRangeEndHour,InpRangeEndMin,InpEndHour,InpEndMin,InpCloseAtEnd,InpOneTradePerDay,InpPendingExpiryMin,InpEntryPoints,InpK,InpAllowLong,InpAllowShort,InpSLMode,InpExecTF,InpAtrPeriod,InpAtrSLmult,InpSLFixedPts,InpTP_R,InpTP1Pct,InpBreakeven,InpUseTrailEMA,InpEmaFast,InpEmaSlow,InpExitOnEmaClose,InpUseCloseConfirm,InpMinBodyPct,InpUseEmaFilter,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpComment,InpMaxSpread,InpVerbose
1,2867.41,8.03196,1.24841,1.87650,18.05956,11.7746,357,770602,14,25,14,30,22,59,1,1,600,10,1,1,1,0,5,14,1.5,1000,2,50,1,1,9,21,1,0,50,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,0,1
0,2867.41,8.03196,1.24841,1.87650,18.05956,11.7746,357,770601,14,25,14,30,22,59,1,1,600,10,1,1,1,0,5,14,1.5,1000,2,50,1,1,9,21,1,0,50,0,0,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,0,1
