Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpTP_R,InpUseVolumeFilter,InpRangeStartHour,InpRangeStartMin,InpRangeEndHour,InpRangeEndMin,InpEndHour,InpEndMin,InpCloseAtEnd,InpOneTradePerDay,InpPendingExpiryMin,InpEntryPoints,InpK,InpAllowLong,InpAllowShort,InpSLMode,InpExecTF,InpAtrPeriod,InpAtrSLmult,InpSLFixedPts,InpTP1Pct,InpBreakeven,InpUseTrailEMA,InpEmaFast,InpEmaSlow,InpExitOnEmaClose,InpUseCloseConfirm,InpMinBodyPct,InpUseEmaFilter,InpVolMult,InpVolAvgBars,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpComment,InpMagic,InpMaxSpread,InpVerbose
0,43.99,0.17319,1.01654,0.10403,0.76897,4.1338,254,1.5,0,14,30,15,0,22,59,1,1,600,10,1,1,1,0,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
3,1069.09,6.04006,1.49060,2.13698,19.25177,4.6951,177,2.0,1,14,30,15,0,22,59,1,1,600,10,1,1,1,0,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
2,914.94,5.02714,1.45601,2.40476,19.06940,3.6308,182,1.5,1,14,30,15,0,22,59,1,1,600,10,1,1,1,0,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
1,210.55,0.84899,1.07423,0.44769,3.24548,4.5222,248,2.0,0,14,30,15,0,22,59,1,1,600,10,1,1,1,0,5,14,1.5,1000,50,1,1,9,21,1,1,50,1,1.5,20,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB,770601,0,1
