Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpCrossLookback,InpHACount,InpAdxMin,InpRequireAdxRising,InpMaxDistATR,InpMaxDistEma21ATR,InpUsaGuardian,InpTimeframe,InpEmaFast,InpEmaMid,InpEmaSlow,InpEmaSlopeBars,InpRequireAlignment,InpHAWickRatio,InpHABodyFactor,InpAdxPeriod,InpAdxRising,InpRequireDI,InpMinRR,InpEntryMode,InpPullbackRef,InpPendingExpiryBars,InpAllowLong,InpAllowShort,InpSLMode,InpSwingLookback,InpAtrPeriod,InpAtrSLmult,InpSLBufferPts,InpTP_R,InpPartialR,InpPartialPct,InpBreakeven,InpTrailMode,InpTrailAtrMult,InpExitOnCross,InpExitOnHAflip,InpRiskPercent,InpMaxTradesPerDay,InpStopAfterLosses,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpFridayClose,InpFridayCloseHour,InpMagic,InpMaxSpread,InpVerbose
90,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,3,2,25,1,0.5,1,1,16385,9,21,50,3,1,0.3,0.6,14,1,1,1,0,0,3,1,1,0,10,14,1,0,3,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS OTT,0,20,778745,0,0
18,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,3,2,25,1,0.5,0,1,16385,9,21,50,3,1,0.3,0.6,14,1,1,1,0,0,3,1,1,0,10,14,1,0,3,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS OTT,0,20,778745,0,0
72,45.30,22.71000,378.50000,0.99190,0.39251,0.4546,2,3,2,20,0,0.5,1,1,16385,9,21,50,3,1,0.3,0.6,14,1,1,1,0,0,3,1,1,0,10,14,1,0,3,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS OTT,0,20,778745,0,0
0,45.30,22.71000,378.50000,0.99190,0.39251,0.4546,2,3,2,20,0,0.5,0,1,16385,9,21,50,3,1,0.3,0.6,14,1,1,1,0,0,3,1,1,0,10,14,1,0,3,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS OTT,0,20,778745,0,0
126,-91.53,-15.25500,0.40468,-0.39694,-0.58996,2.2846,6,3,2,25,0,1.5,1,1,16385,9,21,50,3,1,0.3,0.6,14,1,1,1,0,0,3,1,1,0,10,14,1,0,3,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS OTT,0,20,778745,0,0
108,-246.98,-22.45273,0.30354,-0.68659,-2.52146,3.5640,11,3,2,20,1,1.0,1,1,16385,9,21,50,3,1,0.3,0.6,14,1,1,1,0,0,3,1,1,0,10,14,1,0,3,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS OTT,0,20,778745,0,0
54,-34.66,-1.73300,0.91904,-0.10767,-0.64476,3.1895,20,3,2,25,0,1.5,0,1,16385,9,21,50,3,1,0.3,0.6,14,1,1,1,0,0,3,1,1,0,10,14,1,0,3,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS OTT,0,20,778745,0,0
91,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,5,2,25,1,0.5,1,1,16385,9,21,50,3,1,0.3,0.6,14,1,1,1,0,0,3,1,1,0,10,14,1,0,3,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS OTT,0,20,778745,0,0
36,63.99,3.36789,1.13757,0.18332,0.96259,3.4583,19,3,2,20,1,1.0,0,1,16385,9,21,50,3,1,0.3,0.6,14,1,1,1,0,0,3,1,1,0,10,14,1,0,3,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS OTT,0,20,778745,0,0
19,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,5,2,25,1,0.5,0,1,16385,9,21,50,3,1,0.3,0.6,14,1,1,1,0,0,3,1,1,0,10,14,1,0,3,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS OTT,0,20,778745,0,0
1,146.99,24.57500,320.54348,1.70542,1.33482,0.8423,6,5,2,20,0,0.5,0,1,16385,9,21,50,3,1,0.3,0.6,14,1,1,1,0,0,3,1,1,0,10,14,1,0,3,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS OTT,0,20,778745,0,0
92,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,7,2,25,1,0.5,1,1,16385,9,21,50,3,1,0.3,0.6,14,1,1,1,0,0,3,1,1,0,10,14,1,0,3,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS OTT,0,20,778745,0,0
20,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,7,2,25,1,0.5,0,1,16385,9,21,50,3,1,0.3,0.6,14,1,1,1,0,0,3,1,1,0,10,14,1,0,3,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS OTT,0,20,778745,0,0
73,146.99,24.57500,320.54348,1.70542,1.33482,0.8423,6,5,2,20,0,0.5,1,1,16385,9,21,50,3,1,0.3,0.6,14,1,1,1,0,0,3,1,1,0,10,14,1,0,3,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS OTT,0,20,778745,0,0
127,-161.67,-23.09571,0.27626,-0.70111,-1.19696,2.3006,7,5,2,25,0,1.5,1,1,16385,9,21,50,3,1,0.3,0.6,14,1,1,1,0,0,3,1,1,0,10,14,1,0,3,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS OTT,0,20,778745,0,0
93,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,3,3,25,1,0.5,1,1,16385,9,21,50,3,1,0.3,0.6,14,1,1,1,0,0,3,1,1,0,10,14,1,0,3,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS OTT,0,20,778745,0,0
109,-108.16,-6.00889,0.74530,-0.33450,-2.15413,3.2260,18,5,2,20,1,1.0,1,1,16385,9,21,50,3,1,0.3,0.6,14,1,1,1,0,0,3,1,1,0,10,14,1,0,3,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS OTT,0,20,778745,0,0
21,0.00,0.00000,0.00000,0.00000,0.00000,0.0000,0,3,3,25,1,0.5,0,1,16385,9,21,50,3,1,0.3,0.6,14,1,1,1,0,0,3,1,1,0,10,14,1,0,3,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS OTT,0,20,778745,0,0
