Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpMagic,InpUsaGuardian,InpEmaFast,InpEmaSlow,InpAllowLong,InpAllowShort,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpUseEma200Filter,InpEmaTrendPeriod,InpUseOppositeExit,InpReverseOnOppositeExit,InpAtrPeriod,InpSLatr,InpTP_RR,InpTP1_RR,InpTP1Pct,InpBreakeven,InpUseTrailEma,InpMaxTradesPerDay,InpUseHourFilter,InpHourStart,InpHourEnd,InpFridayClose,InpFridayCloseHour,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMaxSpread,InpVerbose,InpAutoTest
1,-419.69,-1.57187,0.97349,-0.27233,-0.38153,14.3856,267,-4.0604,-1085,-1084.57,776227,1,9,21,1,1,0,1.5,20,0,200,1,1,14,1.5,2,1,0,1,0,0,0,8,20,0,20,1,0,abtg_news.csv,3,60,30,0,,CROSSEMA,0,0,0
0,-419.69,-1.57187,0.97349,-0.27233,-0.38153,14.3856,267,-4.0604,-1085,-1084.57,776226,1,9,21,1,1,0,1.5,20,0,200,1,1,14,1.5,2,1,0,1,0,0,0,8,20,0,20,1,0,abtg_news.csv,3,60,30,0,,CROSSEMA,0,0,0
