Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpMagic,InpUsaGuardian,InpTimeframe,InpEmaFast,InpEmaMid,InpEmaSlow,InpEmaSlopeBars,InpRequireAlignment,InpCrossLookback,InpHACount,InpHAAutoCount,InpHAWickRatio,InpHABodyFactor,InpUseBBExpand,InpBBPeriod,InpBBDev,InpBBExpandBars,InpBBExpandMult,InpAdxPeriod,InpAdxMin,InpAdxRising,InpRequireDI,InpRequireAdxRising,InpMaxDistATR,InpMinRR,InpMaxDistEma21ATR,InpEntryMode,InpPullbackRef,InpPendingExpiryBars,InpAllowLong,InpAllowShort,InpSLMode,InpSwingLookback,InpAtrPeriod,InpAtrSLmult,InpSLBufferPts,InpTP_R,InpPartialR,InpPartialPct,InpBreakeven,InpTrailMode,InpTrailAtrMult,InpExitOnCross,InpExitOnHAflip,InpRiskPercent,InpMaxTradesPerDay,InpStopAfterLosses,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpFridayClose,InpFridayCloseHour,InpMaxSpread,InpVerbose
0,200.44,20.04400,3.56383,1.77412,0.68365,1.0967,10,778730,1,16388,9,21,50,3,1,8,3,0,0.3,0.6,0,20,2,3,1.05,14,20,1,1,0,1.5,1,0,0,0,3,0,1,0,10,14,1.5,0,1.5,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,0,20,0,0
1,200.44,20.04400,3.56383,1.77412,0.68365,1.0967,10,778731,1,16388,9,21,50,3,1,8,3,0,0.3,0.6,0,20,2,3,1.05,14,20,1,1,0,1.5,1,0,0,0,3,0,1,0,10,14,1.5,0,1.5,1,50,1,0,2,1,0,1,2,2,0,abtg_news.csv,3,30,30,0,USD,GOLDENCROSS,0,20,0,0
