Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpMagic,InpUsaGuardian,InpTF_Struttura,InpSwingBars,InpAllowLong,InpAllowShort,InpMaxLivelli,InpUseSessionWindow,InpSessStartHour,InpSessStartMin,InpSessEndHour,InpSessEndMin,InpAtrPeriod,InpSLMode,InpSLBufferAtr,InpSLatr,InpTP_RR,InpTP1_RR,InpTP1Pct,InpBreakeven,InpUseTrailing,InpTrailATR,InpMaxTradesPerDay,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMaxSpread,InpVerbose,InpAutoTest
1,74.44,3.10167,1.05655,0.12047,1.17895,5.8693,24,-1.1177,-532,-532.34,772604,1,16388,21,1,1,200,0,8,0,12,0,14,0,0.5,1.5,2,1,0,1,0,1.5,0,1,0,abtg_news.csv,3,60,30,0,,LIQSWEEP,0,0,0
0,74.44,3.10167,1.05655,0.12047,1.17895,5.8693,24,-1.1177,-532,-532.34,772603,1,16388,21,1,1,200,0,8,0,12,0,14,0,0.5,1.5,2,1,0,1,0,1.5,0,1,0,abtg_news.csv,3,60,30,0,,LIQSWEEP,0,0,0
