Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpMagic,InpUsaGuardian,InpEmaFast,InpEmaSlow,InpAllowLong,InpAllowShort,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpUseEma200Filter,InpEmaTrendPeriod,InpUseOppositeExit,InpReverseOnOppositeExit,InpAtrPeriod,InpSLatr,InpTP_RR,InpTP1_RR,InpTP1Pct,InpBreakeven,InpUseTrailEma,InpMaxTradesPerDay,InpUseHourFilter,InpHourStart,InpHourEnd,InpFridayClose,InpFridayCloseHour,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMaxSpread,InpVerbose,InpAutoTest
1,-1447.36,-32.16356,0.55883,-0.72665,-5.00000,18.8898,45,-2.2816,-1893,-1893.05,776203,1,9,21,1,1,1,1.5,20,0,200,0,1,14,1.5,2,1,0,1,0,0,0,8,20,0,20,1,0,abtg_news.csv,3,60,30,0,,CROSSEMA,0,0,0
0,-1447.36,-32.16356,0.55883,-0.72665,-5.00000,18.8898,45,-2.2816,-1893,-1893.05,776202,1,9,21,1,1,1,1.5,20,0,200,0,1,14,1.5,2,1,0,1,0,0,0,8,20,0,20,1,0,abtg_news.csv,3,60,30,0,,CROSSEMA,0,0,0
