Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpMagic,InpUsaGuardian,InpEmaFast,InpEmaSlow,InpAllowLong,InpAllowShort,InpUseVolumeFilter,InpVolMult,InpVolAvgBars,InpUseEma200Filter,InpEmaTrendPeriod,InpUseOppositeExit,InpReverseOnOppositeExit,InpAtrPeriod,InpSLatr,InpTP_RR,InpTP1_RR,InpTP1Pct,InpBreakeven,InpUseTrailEma,InpMaxTradesPerDay,InpUseHourFilter,InpHourStart,InpHourEnd,InpFridayClose,InpFridayCloseHour,InpRiskPercent,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMaxSpread,InpVerbose,InpAutoTest
1,2430.67,9.00248,1.15620,1.16847,1.80856,15.7981,270,-3.2591,-791,-790.52,776207,1,9,21,1,1,0,1.5,20,0,200,1,1,14,1.5,2,1,0,1,0,0,0,8,20,0,20,1,0,abtg_news.csv,3,60,30,0,,CROSSEMA,0,0,0
0,2430.67,9.00248,1.15620,1.16847,1.80856,15.7981,270,-3.2591,-791,-790.52,776206,1,9,21,1,1,0,1.5,20,0,200,1,1,14,1.5,2,1,0,1,0,0,0,8,20,0,20,1,0,abtg_news.csv,3,60,30,0,,CROSSEMA,0,0,0
