Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,Peggior Giornata %,Perdite Consecutive Max,Serie Perdente Peggiore,InpMagic,InpTF,InpExitMode,InpTP_R,InpSLBufferATR,InpAtrPeriod,InpMinRangeATR,InpMaxBarsHold,InpWarmupBars,InpAllowLong,InpAllowShort,InpMaxSpreadPts,InpEntryWindowBars,InpRiskPercent,InpComment,InpVerbose
0,1251.15,125.11500,1.40735,0.32958,0.35683,3.6916,10,-1.0108,-2041,-2041.10,772355,16388,0,1.5,0.2,14,0,100,500,1,0,300,3,1,COST,1
1,1251.15,125.11500,1.40735,0.32958,0.35683,3.6916,10,-1.0108,-2041,-2041.10,772356,16388,0,1.5,0.2,14,0,100,500,1,0,300,3,1,COST,1
