[SERVER]
Campo,Valore
Broker,BCM Markets Ltd
Server,BCMMarkets-Server
Conto,50503392
TipoConto,DEMO
Valuta,EUR
OraServer,2026.08.17 17:34:09
OraUltimoTick,2026.08.17 17:34:09
OraGMT,2026.08.17 16:34:09
OraLocalePC,2026.08.17 18:34:09
OffsetServerGMT_min,60
OffsetServerGMT_ore,1.00
OffsetServerGMT_hhmm,+01:00
OraLegalePC,SI
MercatoAperto,SI
SimboliBroker,59
SimboliMarketWatch,21
TF_Misurato,H1
Filtro,
MisuratoIl,2026.08.17
[SIMBOLI]
Simbolo,Descrizione,Digits,Point,ContractSize,TickValue,TickSize,SpreadPt,TF,BarreTF,PrimaDataTF,BarreD1,PrimaDataD1,Stato
EURUSD,Euro vs US Dollar Forward contract,5,0.00001000,100000.00,0.86287,0.00001000,4,H1,100000,1971.01.03,6820,1971.01.03,da scaricare (parziale)
GBPUSD,Great Britain Pound vs US Dollar Forward contract  ?????,5,0.00001000,100000.00,0.86287,0.00001000,2,H1,100008,1993.05.11,6412,1993.05.11,da scaricare (parziale)
USDCHF,US Dollar vs Swiss Franc Forward contract  ???????,5,0.00001000,100000.00,1.06559,0.00001000,0,H1,57535,1971.01.03,2875,1971.01.03,da scaricare (parziale)
USDJPY,US Dollar vs Japanese Yen Forward contract  ?????,3,0.00100000,100000.00,0.54147,0.00100000,3,H1,100008,1971.01.03,6726,1971.01.03,da scaricare (parziale)
USDCAD,US Dollar vs Canadian Dollar Forward contract  ?????,5,0.00001000,100000.00,0.62214,0.00001000,0,H1,31961,1993.04.27,1592,1993.04.27,da scaricare (parziale)
AUDUSD,Australian Dollar vs US Dollar Forward contract,5,0.00001000,100000.00,0.86287,0.00001000,0,H1,72217,1993.04.26,3610,1993.04.26,da scaricare (parziale)
AUDNZD,Australian Dollar vs New Zealand Dollar  Forward contract,5,0.00001000,100000.00,0.50982,0.00001000,0,H1,83251,1993.04.04,4168,1993.04.04,da scaricare (parziale)
AUDCAD,Australian Dollar vs Canadian Dollar  Forward contract,5,0.00001000,100000.00,0.62214,0.00001000,0,H1,28722,1993.04.26,1429,1993.04.26,da scaricare (parziale)
AUDCHF,Australian Dollar vs Swiss Franc  Forward contract,5,0.00001000,100000.00,1.06559,0.00001000,0,H1,28721,1993.05.13,1430,1993.05.13,da scaricare (parziale)
AUDJPY,Australian Dollar vs Japanese Yen  Forward contract,3,0.00100000,100000.00,0.54147,0.00100000,0,H1,58447,1993.05.16,2920,1993.05.16,da scaricare (parziale)
CHFJPY,Swiss Franc vs Japanese Yen  Forward contract,3,0.00100000,100000.00,0.54148,0.00100000,0,H1,58182,1992.02.18,2907,1992.02.18,da scaricare (parziale)
EURGBP,Euro vs Great Britain Pound Forward contract,5,0.00001000,100000.00,1.17026,0.00001000,3,H1,100000,1993.05.02,6721,1993.05.02,da scaricare (parziale)
EURAUD,Euro vs Australian Dollar  Forward contract,5,0.00001000,100000.00,0.61372,0.00001000,0,H1,59792,2004.06.16,2988,2004.06.16,da scaricare (parziale)
EURCHF,Euro vs Swiss Franc Forward contract,5,0.00001000,100000.00,1.06550,0.00001000,5,H1,55685,1993.04.27,2781,1993.04.27,da scaricare (parziale)
EURJPY,Euro vs Japanese Yen Forward contract,3,0.00100000,100000.00,0.54147,0.00100000,4,H1,100000,1993.04.26,6726,1993.04.26,da scaricare (parziale)
EURNZD,Euro vs New Zealand Dollar  Forward contract,5,0.00001000,100000.00,0.50988,0.00001000,18,H1,28712,1999.01.04,1430,1999.01.04,da scaricare (parziale)
EURCAD,Euro vs Canadian Dollar  Forward contract,5,0.00001000,100000.00,0.62216,0.00001000,10,H1,55640,1999.08.01,2780,1999.08.01,da scaricare (parziale)
GBPCHF,Great Britain Pound vs Swiss Franc Forward contract  ???????,5,0.00001000,100000.00,1.06550,0.00001000,0,H1,47375,1993.04.06,2365,1993.04.06,da scaricare (parziale)
GBPJPY,Great Britain Pound vs Japanese Yen Forward contract  ?????,3,0.00100000,100000.00,0.54147,0.00100000,0,H1,28723,1993.04.18,1429,1993.04.18,da scaricare (parziale)
CADCHF,Canadian Dollar vs Swiss Franc  Forward contract,5,0.00001000,100000.00,1.06550,0.00001000,0,H1,28723,1993.05.18,1430,1993.05.18,da scaricare (parziale)
CADJPY,Canadian Dollar vs Japanese Yen  Forward contract,3,0.00100000,100000.00,0.54147,0.00100000,0,H1,28725,2007.02.12,1430,2007.02.12,da scaricare (parziale)
GBPAUD,Great Britain Pound vs Australian Dollar  Fwd contract  ?????,5,0.00001000,100000.00,0.61380,0.00001000,0,H1,28725,2007.08.21,1430,2007.08.21,da scaricare (parziale)
GBPCAD,Great Britain Pound vs Canadian Dollar  Forward contract  ?????,5,0.00001000,100000.00,0.62216,0.00001000,12,H1,56982,2007.08.21,2850,2007.08.21,da scaricare (parziale)
