Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpTF,InpStMult,InpStAtrPeriod,InpNearAtr,InpRequireConfirmBody,InpAllowLong,InpAllowShort,InpUseConfluence,InpEma1,InpEma2,InpEma3,InpEma4,InpConflAtr,InpFirstFraction,InpUsePending,InpPendingAtr,InpPendingExpiryBars,InpSLLookback,InpSLBufferAtr,InpTP1_R,InpTP1Pct,InpBreakeven,InpTP_RR,InpTrailOnST,InpExitOnFlip,InpRiskPercent,InpMaxTradesPerDay,InpUseTimeWindow,InpStartHour,InpEndHour,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpComment,InpMagic,InpMaxSpread,InpVerbose
6,-65.98,-4.39867,0.73586,-0.43574,-1.20125,1.5014,15,16388,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI,771001,0,1
7,-54.91,-9.15167,0.66011,-0.29878,-0.18839,1.8144,6,16390,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI,771001,0,1
3,-24.30,-0.30759,0.97458,-0.08222,-0.27329,2.9246,79,16385,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI,771001,0,1
2,-278.74,-1.87074,0.84721,-0.30019,-1.90746,9.0700,149,30,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI,771001,0,1
1,600.65,2.57790,1.20478,1.21868,2.74262,4.8642,233,20,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI,771001,0,1
4,366.69,9.16725,2.13106,2.52977,6.00096,1.4231,40,16386,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI,771001,0,1
5,281.90,18.79333,3.59696,2.24568,3.62303,1.2418,15,16387,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI,771001,0,1
0,-660.38,-2.69543,0.82041,-0.66636,-2.85064,9.7855,245,15,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI,771001,0,1
8,-31.34,-10.44667,0.00000,-0.20496,-0.03619,1.5107,3,16392,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI,771001,0,1
10,-66.17,-66.17000,0.00000,-0.94529,-0.03135,0.6997,1,16408,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI,771001,0,1
9,-306.16,-51.02667,0.00000,-0.89505,-1.24699,3.4084,6,16396,3.5,10,1,1,1,1,1,14,89,100,200,1.5,0.3333,1,0.5,3,5,0.2,1,50,1,2,1,1,1,0,0,0,24,0,abtg_news.csv,3,30,30,0,,STREV MULTI,771001,0,1
