ora_server,tick_totali,tick_ask_usabili,tick_solo_bid,media_idx,mediana_idx,p95_idx,max_idx,overflow_tick
0,831275,831275,0,2.7476,2.8000,3.0000,25.0000,0
1,1510453,1510453,0,2.6822,2.8000,3.0000,20.8000,0
2,1460885,1460885,0,2.6738,2.8000,3.0000,27.0000,0
3,1058798,1058798,0,2.6190,2.7000,3.0000,22.8000,0
4,878639,878639,0,2.6180,2.7000,3.0000,31.0000,0
5,732003,732003,0,2.5854,2.7000,3.0000,22.8000,0
6,936318,936318,0,2.6087,2.7000,3.0000,54.0000,0
7,1139433,1139433,0,2.4477,2.6000,3.0000,19.0000,0
8,1676013,1676013,0,2.4201,2.6000,3.0000,30.0000,0
9,2108787,2108787,0,2.4418,2.6000,3.0000,18.0000,0
10,1645032,1645032,0,2.3806,2.6000,3.0000,18.0000,0
11,1526684,1526684,0,2.3769,2.6000,3.0000,25.0000,0
12,1669719,1669719,0,2.4438,2.6000,3.0000,26.0000,0
13,2147331,2147331,0,2.5170,2.6000,3.0000,101.0000,0
14,4931660,4931660,0,2.1826,2.0000,3.0000,47.0000,0
15,7852363,7852363,0,1.9822,2.0000,2.6000,36.0000,0
16,7545262,7545262,0,1.8854,1.9000,2.0000,42.0000,0
17,6036207,6036207,0,1.8478,1.9000,2.0000,63.0000,0
18,5333603,5333603,0,1.8525,1.9000,2.0000,26.0000,0
19,5070014,5070014,0,1.8437,1.9000,2.0000,91.0000,0
20,5311323,5311323,0,1.8358,1.9000,2.0000,46.0000,0
21,2751382,2751382,0,1.8632,1.8000,2.5000,34.0000,0
22,104230,104230,0,1.8753,2.1000,2.8000,4.1000,0
23,453871,453871,0,3.3171,2.8000,7.0000,60.0000,0
TUTTO,64711285,64711285,0,2.1046,2.0000,2.8000,101.0000,0
