ora_server,tick_totali,tick_ask_usabili,tick_solo_bid,media_idx,mediana_idx,p95_idx,max_idx,overflow_tick
0,2638761,2638761,0,2.4246,2.5000,2.7000,8.2000,0
1,4546040,4546040,0,2.4118,2.5000,2.7000,7.5000,0
2,4743760,4743760,0,2.4103,2.5000,2.7000,7.6000,0
3,3783013,3783013,0,2.3468,2.4000,2.7000,6.1000,0
4,3238208,3238208,0,2.3143,2.4000,2.7000,6.1000,0
5,2743681,2743681,0,2.2740,2.3000,2.7000,7.5000,0
6,3328295,3328295,0,2.3098,2.3000,2.7000,6.1000,0
7,3575683,3575683,0,2.3523,2.4000,2.7000,6.1000,0
8,4573027,4573027,0,2.4173,2.5000,2.7000,8.1000,0
9,5696275,5696275,0,2.4779,2.6000,2.7000,7.9000,0
10,4779504,4779504,0,2.4414,2.5000,2.7000,6.1000,0
11,4361766,4361766,0,2.4149,2.5000,2.7000,6.6000,0
12,4744244,4744244,0,2.4176,2.5000,2.7000,8.2000,0
13,6054976,6054976,0,2.4612,2.6000,2.7000,8.2000,0
14,10455143,10455143,0,2.0879,1.8000,2.7000,8.2000,0
15,15360447,15360447,0,1.7776,1.8000,2.6000,6.1000,0
16,15422428,15422428,0,1.6374,1.7000,1.8000,6.1000,0
17,13099669,13099669,0,1.5876,1.7000,1.8000,6.1000,0
18,11765042,11765042,0,1.5673,1.7000,1.8000,6.1000,0
19,11182176,11182176,0,1.5585,1.6000,1.8000,6.1000,0
20,11458986,11458986,0,1.5591,1.7000,1.8000,6.1000,0
21,6838038,6838038,0,1.7686,1.7000,2.7000,8.1000,0
22,309157,309157,0,2.3440,2.4000,3.2000,4.2000,0
23,1448079,1448079,0,2.3599,2.4000,2.7000,8.2000,0
TUTTO,156146398,156146398,0,1.9623,1.8000,2.7000,8.2000,0
