Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpMagic,InpORStartHour,InpORStartMin,InpORMinutes,InpBreakCutoffMin,InpEndHour,InpEndMin,InpCloseAtEnd,InpOneTradePerDay,InpExecTF,InpUseVolume,InpVolMult,InpVolAvgBars,InpBodyMinRatio,InpFibGZ1,InpFibGZ2,InpFibSL,InpUseEMAFilter,InpEmaFast,InpEmaSlow,InpUseMACD,InpAllowLong,InpAllowShort,InpRiskPercent,InpMinRR,InpSLBufferPts,InpTP1Pct,InpBreakeven,InpUseTrailEMA,InpExitOnEmaClose,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpComment,InpMaxSpread,InpVerbose
0,-27.92,-0.37227,0.96816,-0.08835,-1.64456,3.1016,75,770602,14,30,30,120,22,59,1,1,5,1,1.5,20,0.5,0.5,0.618,0.786,1,9,21,0,1,1,1,0,0,50,1,1,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB FIBO,0,1
1,-27.92,-0.37227,0.96816,-0.08835,-1.64456,3.1016,75,770603,14,30,30,120,22,59,1,1,5,1,1.5,20,0.5,0.5,0.618,0.786,1,9,21,0,1,1,1,0,0,50,1,1,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB FIBO,0,1
