Pass,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Equity DD %,Trades,InpMagic,InpORStartHour,InpORStartMin,InpORMinutes,InpBreakCutoffMin,InpEndHour,InpEndMin,InpCloseAtEnd,InpOneTradePerDay,InpExecTF,InpUseVolume,InpVolMult,InpVolAvgBars,InpBodyMinRatio,InpFibGZ1,InpFibGZ2,InpFibSL,InpUseEMAFilter,InpEmaFast,InpEmaSlow,InpUseMACD,InpAllowLong,InpAllowShort,InpRiskPercent,InpMinRR,InpSLBufferPts,InpTP1Pct,InpBreakeven,InpUseTrailEMA,InpExitOnEmaClose,InpUseNewsFilter,InpNewsFile,InpNewsMinImpact,InpNewsBeforeMin,InpNewsAfterMin,InpNewsShiftMinutes,InpNewsCurrencies,InpNewsFlatten,InpComment,InpMaxSpread,InpVerbose
1,-156.61,-1.72099,0.83507,-0.51183,-5.00000,3.0160,91,770603,14,30,30,120,22,59,1,1,5,1,1.5,20,0.5,0.5,0.618,0.786,1,9,21,0,1,1,1,0,0,50,1,1,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB FIBO,0,1
0,-156.61,-1.72099,0.83507,-0.51183,-5.00000,3.0160,91,770602,14,30,30,120,22,59,1,1,5,1,1.5,20,0.5,0.5,0.618,0.786,1,9,21,0,1,1,1,0,0,50,1,1,1,0,abtg_news.csv,3,30,30,0,USD,1,ORB FIBO,0,1
